model,x,P_event_within_k_given_crossed,P_no_event_within_k_given_never_crossed,P_crossed_given_event_within_k,P_never_crossed_given_no_event_within_k,mm
M2550,1,0.1603630862329803,0.9950195518917776,0.3599320882852292,0.985476716952989,M2550
M2550,2,0.2201210287443268,0.992707672796449,0.3451957295373665,0.9864653757794551,M2550
M2550,4,0.321482602118003,0.9888897696047348,0.3357030015797788,0.9881587284824164,M2550
M2550,8,0.4788199697428139,0.9822711900232508,0.320506329113924,0.9908185973375264,M2550
M2550,10,0.5408472012102874,0.9795629887972944,0.3160919540229885,0.9918802504146824,M2550
F2550,1,0.2088846880907372,0.9608748481166464,0.4778378378378378,0.8763297872340425,F2550
F2550,2,0.2826086956521739,0.9437019036046984,0.4624903325599381,0.8847205346294046,F2550
F2550,4,0.4097353497164461,0.913568246253544,0.4482936918304033,0.9002953620180411,F2550
F2550,8,0.611531190926276,0.856784123126772,0.4225996080992815,0.927888411264146,F2550
F2550,10,0.7036862003780718,0.8341838801134063,0.4210972850678733,0.942608695652174,F2550
M5075,1,0.1550255536626916,0.9968580951860554,0.441747572815534,0.9865884325230512,M5075
M5075,2,0.2146507666098807,0.9957652587290312,0.4483985765124555,0.9875094830389076,M5075
M5075,4,0.3219761499148211,0.992596033003661,0.4108695652173913,0.9891638759563288,M5075
M5075,8,0.4838160136286201,0.9882246871755642,0.3972027972027972,0.9916927126172068,M5075
M5075,10,0.5519591141396933,0.9859024097043876,0.3857142857142857,0.992764587746568,M5075
F5075,1,0.1274238227146814,0.996626256719372,0.3801652892561983,0.9859816203466768,F5075
F5075,2,0.1869806094182825,0.9952767594071208,0.391304347826087,0.986908425888755,F5075
F5075,4,0.2770083102493075,0.992667731270102,0.3802281368821292,0.988310903105896,F5075
F5075,8,0.445983379501385,0.9878545241897392,0.3735498839907192,0.9909749328760632,F5075
F5075,10,0.5318559556786704,0.9856503452463956,0.3757338551859099,0.992346187812776,F5075
